Property Name,Amenities,Property Type,City,Country,Month,Price(in dollar),Rating,Number of Reviews,Rating Rank,Price Rank,Province State Region
"Hut in Kecamatan Ubud, Indonesia",50% OFF | Ipian Cinta with Private Pool jacuzzi,Hut,Kecamatan Ubud,Indonesia,October,142.00,4.62,118.0,635,226,
"Cottage in Lamai Beach, Thailand",TROPICAL POOL BEACH VILLA III | Beach-Pool-Freedom,Cottage,Lamai Beach,Thailand,June,142.00,4.92,25.0,254,226,
"Cottage in Boscastle, UK","A Boscastle barn, rustic simplicity stunning views",Cottage,Boscastle,United Kingdom,June,141.00,5.0,9.0,49,227,
"Apartment in Bacalar, Mexico","Lagoon Front Hut: Daily Cleaning, Bikes & Kayaks!",Apartment,Bacalar,Mexico,June,141.00,4.89,633.0,302,227,
"Cottage in Boscastle, UK","A Boscastle barn, rustic simplicity stunning views",Cottage,Boscastle,United Kingdom,June,141.00,5.0,18.0,30,227,
"Cottage in Trefeinon, UK",Bumble Bee Cottage,Cottage,Trefeinon,United Kingdom,June,141.00,4.93,410.0,211,227,
"Apartment in Miami Beach, Florida, US","Modern 1/1, Half a Block from The Ocean",Apartment,Miami Beach,United States,June,140.00,4.75,308.0,568,228,Florida
"Home in Jurków, Poland",Beachfront Cottage on the Lake,Home,Jurków,Poland,June,140.00,4.72,25.0,593,228,
"Farm stay in Girvan, UK",Secluded Hand crafted log cabin,Farm stay,Girvan,United Kingdom,June,139.00,5.0,68.0,9,229,
"Condo in Luquillo, Puerto Rico",“Playa Luna”- Breathtaking Ocean and City Views,Condo,Luquillo,Puerto Rico,July,138.00,4.88,159.0,335,230,
"Apartment in Cancún, Mexico",Free Transportation / Premium Beach Loft 1711th,Apartment,Cancún,Mexico,June,138.00,5.0,15.0,32,230,
"Guesthouse in Cabo Rojo, Puerto Rico",Villa Vista Puerto,Guesthouse,Cabo Rojo,Puerto Rico,June,138.00,4.86,493.0,380,230,
"Tiny home in Castleton, Canada","Artsy ""Glamping"" experience",Tiny home,Castleton,Canada,July,138.00,4.91,278.0,260,230,
"Cabin in Woodford, Vermont, US",400+ Airbnb Visits: Incredible Mountain Cabin,Cabin,Woodford,United States,June,137.00,4.85,325.0,402,231,Vermont
"Villa in Ubud, Kabupaten Gianyar, Indonesia",#3# Beautiful Balinese Villa with Private Pool,Villa,Ubud,Indonesia,November,137.00,4.91,434.0,256,231,Kabupaten Gianyar
"Apartment in Muang Pattaya, Thailand",[VR] 2BR High Skyline Ocean View @ Pattaya,Apartment,Muang Pattaya,Thailand,June,136.00,4.69,85.0,607,232,
"Dome in Terlingua, Texas, US",Domeland: Off-grid Adobe Dome near Big Bend,Dome,Terlingua,United States,July,136.00,4.95,863.0,158,232,Texas
"Condo in Kremasti, Greece",L & C Deluxe Apartment - luxury and comfort,Condo,Kremasti,Greece,June,136.00,5.0,45.0,16,232,
"Hut in Tampaksiring, Indonesia",Hidden Bamboo Bali,Hut,Tampaksiring,Indonesia,November,136.00,4.91,161.0,265,232,
"Castle in Winningen, Germany",Magazine - Oskar Schwebel -,Castle,Winningen,Germany,June,136.00,4.66,277.0,623,232,
"Castle in Winningen, Germany",Magazine - Oskar Schwebel -,Castle,Winningen,Germany,June,136.00,4.66,277.0,622,232,
"Home in Audierne, France",Villa Trouz Ar Mor,Home,Audierne,France,July,135.00,4.85,13.0,432,233,
"Home in Audierne, France",Villa Trouz Ar Mor,Home,Audierne,France,July,135.00,4.85,13.0,433,233,
"Treehouse in Sundridge, Canada",Lount Treetop Rentals - Unit 2,Treehouse,Sundridge,Canada,June,135.00,4.97,173.0,110,233,
"Room in Berlin, Germany",Friedrichshain Beautiful Sunny Room with Balcony,Room,Berlin,Germany,July,135.00,5.0,6.0,54,233,
"Cabin in Rocky View County, Canada",100+ Year old Rustic Log Cabin near Ghost Lake,Cabin,Rocky View County,Canada,August,135.00,4.83,459.0,455,233,
"Barn in Rattray, UK",The Loft at the Bonnington Farm,Barn,Rattray,United Kingdom,June,135.00,4.89,423.0,304,233,
"Room in Rouffignac-de-Sigoulès, France",manoir 19 ème siècle LE COUTUREAU isaline,Room,Rouffignac-de-Sigoulès,France,June,135.00,5.0,11.0,43,233,
"Tiny home in Canning, Canada",Split View Two,Tiny home,Canning,Canada,August,134.00,4.95,81.0,174,234,
"Condo in Atlantic City, New Jersey, US",Beachfront Condo Now Available! Sleeps 4 + Parking,Condo,Atlantic City,United States,June,133.00,4.51,88.0,659,235,New Jersey
"Shepherd’s hut in Hollacombe, UK",Woodland Stargazing Cabin,Shepherd’s hut,Hollacombe,United Kingdom,June,133.00,4.83,174.0,462,235,
"Treehouse in Tampaksiring, Indonesia",umatreehouse,Treehouse,Tampaksiring,Indonesia,November,133.00,4.93,164.0,217,235,
"Cabin in Tambon Ko Pha-ngan, Thailand","BOHO CABIN, Hin Kong Beachfront, West Coast.",Cabin,Tambon Ko Pha-ngan,Thailand,July,132.00,4.98,44.0,99,236,
"Cabin in Tambon Ko Pha-ngan, Thailand","BOHO CABIN, Hin Kong Beachfront, West Coast.",Cabin,Tambon Ko Pha-ngan,Thailand,July,132.00,4.98,44.0,100,236,
"Cabin in Tambon Ko Pha-ngan, Thailand","BOHO CABIN, Hin Kong Beachfront, West Coast.",Cabin,Tambon Ko Pha-ngan,Thailand,July,132.00,4.98,44.0,98,236,
"Place to stay in Punta Cana, Dominican Republic",Hut #3 Romantic Luxury on the sand,Place to stay,Punta Cana,Dominican Republic,July,132.00,4.86,29.0,394,236,
"Treehouse in San Carlos, Costa Rica",Rainforest Tree House with Hot Springs,Treehouse,San Carlos,Costa Rica,August,132.00,4.84,763.0,435,236,
"Place to stay in Punta Cana, Dominican Republic",Hut #3 Romantic Luxury on the sand,Place to stay,Punta Cana,Dominican Republic,July,132.00,4.86,29.0,395,236,
"Earthen home in Ao nang, Thailand",Seaview Bedrock Home,Earthen home,Ao nang,Thailand,June,131.00,4.8,35.0,519,237,
"Place to stay in Balian Beach, Indonesia",BALIAN TREEHOUSE 2 - with private pool,Place to stay,Balian Beach,Indonesia,July,131.00,4.89,140.0,318,237,
"Home in Baião, Portugal",CasasdoCasinhotoD-Rustic House (pool; river view),Home,Baião,Portugal,June,131.00,4.81,43.0,503,237,
"Home in Baião, Portugal",CasasdoCasinhotoD-Rustic House (pool; river view),Home,Baião,Portugal,June,131.00,4.81,43.0,502,237,
"Apartment in Guanacaste Province, Costa Rica",Surf Shack Guiones - perfect beach location,Apartment,Guanacaste Province,Costa Rica,June,130.00,4.82,278.0,475,238,
"Apartment in Candidasa, Indonesia",Villa Sea Spray Bali Cowrie literally on the Ocean,Apartment,Candidasa,Indonesia,August,130.00,4.79,112.0,532,238,
"Tiny home in Aptos, California, US",Bamboo Cottage in Aptos Mountain Retreat & Spa,Tiny home,Aptos,United States,July,130.00,4.78,257.0,541,238,California
"Cave in Mesaria, Greece",Luxury Triple cave room,Cave,Mesaria,Greece,June,129.00,4.72,32.0,592,239,
"Cave in Mesaria, Greece",Luxury Triple cave room,Cave,Mesaria,Greece,June,129.00,4.72,32.0,591,239,
"Room in San Juan, Philippines",Alon and Sandy Surf Shack GFloor (Air Conditioned),Room,San Juan,Philippines,June,129.00,4.62,145.0,634,239,
"Home in Tulum, Mexico","Heaven Lodge, entire house surrounded by nature",Home,Tulum,Mexico,June,128.00,4.86,155.0,390,240,
"Tiny home in Concepcion, Philippines",Tiny House by The Modern Escape,Tiny home,Concepcion,Philippines,July,128.00,5.0,32.0,19,240,
"Room in Miami, Florida, US",Private room/bathroom in modern house with Pool,Room,Miami,United States,July,128.00,4.83,181.0,460,240,Florida
"Home in Rémalard, France","Moulin de Boiscorde, ideal for couples and families",Home,Rémalard,France,June,128.00,4.9,41.0,301,240,
"Boat in Stuart, Florida, US",House Boat Sunset Bay Marina Stuart Fl,Boat,Stuart,United States,September,127.00,4.92,279.0,235,241,Florida
"Tiny home in Orlando, Florida, US",The Little Tree House at Country Club of Orlando,Tiny home,Orlando,United States,July,127.00,4.98,604.0,77,241,Florida
"Home in Cernobbio, Italy",Ca' Roncate,Home,Cernobbio,Italy,October,127.00,4.9,378.0,286,241,
"Room in Ko Samui District, Thailand",Villa The Spot - Room B6,Room,Ko Samui District,Thailand,June,127.00,4.75,28.0,573,241,
"Cabin in Bowen Island, Canada",the legendary wildwood cabins ~ CABIN 2,Cabin,Bowen Island,Canada,September,126.00,4.99,742.0,63,242,
"Home in Atouguia da Baleia, Portugal","Spectacular view of Supertubos beach, Peniche",Home,Atouguia da Baleia,Portugal,October,126.00,4.82,34.0,491,242,
"Villa in Tegallalang, Indonesia",Luxurious Private Pool Villa with Garden North of Ubud,Villa,Tegallalang,Indonesia,October,126.00,4.92,166.0,245,242,
"Villa in Ubud, Indonesia",Ceylon Villas 4 - 1BR Villa! 5 mins to Ubud 🌴,Villa,Ubud,Indonesia,November,125.00,4.92,184.0,242,243,
"Hotel in Willemstad, Curaçao",Saint Tropez Boutique Hotel,Hotel,Willemstad,Curaçao,June,125.00,4.78,74.0,550,243,
"Cabin in Jarratt, Virginia, US",Harrell’s Cabin,Cabin,Jarratt,United States,June,125.00,4.82,612.0,471,243,Virginia
"Home in Bad Sankt Leonhard im Lavanttal, Austria",1A chalet resting crickets + hiking with indoor sauna,Home,Bad Sankt Leonhard im Lavanttal,Austria,June,123.00,4.67,110.0,619,244,
"Tiny home in Tremont, Maine, US",Coyote's Den at The Howling Woods,Tiny home,Tremont,United States,June,123.00,4.87,303.0,359,244,Maine
"Home in Bad Sankt Leonhard im Lavanttal, Austria",1A chalet resting crickets + hiking with indoor sauna,Home,Bad Sankt Leonhard im Lavanttal,Austria,June,123.00,4.67,110.0,618,244,
"Villa in Kamala, Thailand","""Villa Sauvage 2 br"" - a magic horizon of coziness",Villa,Kamala,Thailand,June,122.00,4.57,115.0,645,245,
"Treehouse in Kabupaten Buleleng, Indonesia",Seaside Designer Treehouse ~ Stunning Views ~ Pool,Treehouse,Kabupaten Buleleng,Indonesia,June,121.00,4.75,4.0,574,246,
"Room in Behren-Lübchin, Germany",Wohnung Ruth Herrenhaus Viecheln Anno 1869,Room,Behren-Lübchin,Germany,June,121.00,4.97,34.0,121,246,
"Condo in Luquillo, Puerto Rico",AHHH-MAZING VIEWS! Beach Front Apt.,Condo,Luquillo,Puerto Rico,September,121.00,4.88,490.0,329,246,
"Tiny home in Horning's Mills, Canada",Pine River Bunkies: Heron’s Landing Off Grid Cabin,Tiny home,Horning's Mills,Canada,June,120.00,4.89,103.0,322,247,
"Villa in Kathu, Thailand",Tiny Poolvilla in the heart of Phuket,Villa,Kathu,Thailand,July,119.00,5.0,98.0,7,248,
"Cabin in West Farmington, Ohio, US",The Triangle: A-Frame Cabin for your city retreat,Cabin,West Farmington,United States,July,119.00,4.91,515.0,255,248,Ohio
"Villa in Kathu, Thailand",Tiny Poolvilla in the heart of Phuket,Villa,Kathu,Thailand,July,119.00,5.0,98.0,8,248,
"Treehouse in Kecamatan Ubud, Indonesia",Bamboo Turtle cabin river view 5km to Ubud center,Treehouse,Kecamatan Ubud,Indonesia,July,118.00,4.88,75.0,340,249,
"Tiny home in Huntsville, Missouri, US",O’s Barn Cabin,Tiny home,Huntsville,United States,July,118.00,4.94,296.0,188,249,Missouri
"Treehouse in Kecamatan Ubud, Indonesia",Bamboo Turtle cabin river view 5km to Ubud center,Treehouse,Kecamatan Ubud,Indonesia,July,118.00,4.88,75.0,341,249,
"Loft in The Blue Mountains, Canada",Cozy Blue Mountain Retreat @!@Spring Rates@!@,Loft,The Blue Mountains,Canada,June,118.00,4.72,365.0,588,249,
"Hut in Balian Beach, Indonesia",BALIAN TREEHOUSE w beautiful pool,Hut,Balian Beach,Indonesia,June,117.00,4.85,287.0,403,250,
"Apartment in Santa Teresa Beach, Costa Rica",Beachside Apartment with Pool,Apartment,Santa Teresa Beach,Costa Rica,June,117.00,4.84,270.0,438,250,
"Cottage in Ubud, Indonesia",25%OFF! Romantic Honeymoon Escape in Ubud Paradise,Cottage,Ubud,Indonesia,June,117.00,4.77,219.0,556,250,
"Tiny home in Sackville, Canada",Enchanting Tiny Home 1 KM from downtown Sackville,Tiny home,Sackville,Canada,June,117.00,4.86,64.0,392,250,
"Place to stay in Tabanan, Indonesia",Ocean View and Private Pool at Balian Beach,Place to stay,Tabanan,Indonesia,July,116.00,4.82,122.0,483,251,
"Boutique hotel in Miami Beach, Florida, US",Room 2 Queen beds- Buffet Breakfast-Steps to beach,Boutique hotel,Miami Beach,United States,June,116.00,4.38,156.0,674,251,Florida
"Hotel in Isla Mujeres, Mexico","Cozy & Neat hotel room 2pax ocean view WiFi,Pool",Hotel,Isla Mujeres,Mexico,August,115.00,4.52,92.0,657,252,
"Nature lodge in Fethiye, Turkey",DEEP OCEAN BUNGALOWS-PANORAMIC &DOUBLE &HALF BOARD,Nature lodge,Fethiye,Turkey,June,115.00,4.91,75.0,272,252,
"Tiny home in Poltimore, UK",Tranquil retreat with fantastic countryside views,Tiny home,Poltimore,United Kingdom,August,115.00,4.92,227.0,237,252,
"Farm stay in Siler City, North Carolina, US",Lovely farm cabin experience,Farm stay,Siler City,United States,June,114.00,5.0,5.0,55,253,North Carolina
"Trullo in Alberobello, Italy",TrulLetto,Trullo,Alberobello,Italy,June,114.00,4.85,52.0,427,253,
"Home in Real Montecassino, Mexico",New! Bamboo Bosque Mio (Stars & Campfires),Home,Real Montecassino,Mexico,June,113.00,4.82,56.0,490,254,
"Apartment in Nasugbu, Philippines",PICO DE LORO ( Santorini Vibe),Apartment,Nasugbu,Philippines,June,112.00,4.88,16.0,350,255,
"Tiny home in Komoka, Canada",The Cabin at Fernwood Hills,Tiny home,Komoka,Canada,June,112.00,4.9,597.0,284,255,
"Apartment in Athina, Greece","Diamond Home 1, romantic gem, 20 min to Acropolis",Apartment,Athina,Greece,July,112.00,4.79,217.0,529,255,
"Cabin in Teo, Spain",MU_Moradas no Ulla 6. Cabañas de Compostela.,Cabin,Teo,Spain,June,112.00,4.96,89.0,146,255,
"Condo in Puerto Vallarta, Mexico",Buddha Loft in Romantic Zone of Puerto Vallarta,Condo,Puerto Vallarta,Mexico,July,112.00,4.85,175.0,411,255,
"Villa in Ubud, Indonesia",❣️Romantic Staycation-PrivateSunset Pool@megananda,Villa,Ubud,Indonesia,November,111.00,4.92,388.0,233,256,
"Cabin in Güejar Sierra, Spain",Natural show in Cabaña Alcazaba,Cabin,Güejar Sierra,Spain,June,111.00,4.86,568.0,378,256,
"Cabin in Gällstad, Sweden",Cabin on the countryside close to the small city.,Cabin,Gällstad,Sweden,June,111.00,4.71,51.0,599,256,
"Guesthouse in Perranwell Station, UK",The Folly - Cornwall,Guesthouse,Perranwell Station,United Kingdom,June,111.00,5.0,11.0,45,256,
"Cabin in Serrazone, Italy",King's Windmill - A little house in the woods,Cabin,Serrazone,Italy,July,111.00,4.54,201.0,653,256,
"Villa in Payangan, Indonesia",❣️Secluded Getaway Staycation+SunsetPool@megananda,Villa,Payangan,Indonesia,November,111.00,4.89,364.0,306,256,
"Room in Phuket, Thailand",Grand Seaview Pool Suite •,Room,Phuket,Thailand,June,111.00,4.85,26.0,431,256,
"Barn in Vero Beach, Florida, US",Private Barn Studio at Pura Vida Florida Farm,Barn,Vero Beach,United States,September,111.00,4.95,417.0,160,256,Florida
"Home in Vaiano, Italy",Casale La Quercia - Tuscany country house,Home,Vaiano,Italy,June,111.00,4.94,530.0,184,256,
"Guesthouse in Perranwell Station, UK",The Folly - Cornwall,Guesthouse,Perranwell Station,United Kingdom,June,111.00,5.0,11.0,44,256,
"Apartment in Tambon Rawai, Thailand",Appartment 140 sqm 6 people big terrace sea view,Apartment,Tambon Rawai,Thailand,June,111.00,4.91,160.0,266,256,
"Cabin in Serrazone, Italy",King's Windmill - A little house in the woods,Cabin,Serrazone,Italy,July,111.00,4.54,201.0,652,256,
"Tiny home in Les Haudères, Switzerland",Swiss Tiny Chalet,Tiny home,Les Haudères,Switzerland,June,109.00,4.8,157.0,514,257,
"Cabin in Kecamatan Ubud, Indonesia",Samu House. Tropical stay private pool.Adults Only,Cabin,Kecamatan Ubud,Indonesia,September,108.00,4.84,106.0,447,258,
"Cabin in Sorrento, Canada","The Thimbleberry MicroCabin near lake, hot tub use",Cabin,Sorrento,Canada,June,108.00,4.97,146.0,112,258,
"Earthen home in Bronwydd Arms, UK",strawbale roundhouse for vegetarian,Earthen home,Bronwydd Arms,United Kingdom,June,108.00,4.9,297.0,287,258,
"Yurt in Cynwyd, UK",Gorgeous yurt in amazing mountain/forest location,Yurt,Cynwyd,United Kingdom,July,107.00,4.91,339.0,257,259,
"Tiny home in Midmar, UK",Cosy Romantic Cabin with Wood Burning Stove.,Tiny home,Midmar,United Kingdom,June,107.00,4.96,274.0,135,259,
"Room in Wilmington, New York, US",My Adirondack Home - Very Scenic,Room,Wilmington,United States,June,107.00,4.96,520.0,127,259,New York
"Place to stay in Retiro, Colombia",★ BubbleSky Glamping ★ One Night Under Stars ★3,Place to stay,Retiro,Colombia,June,107.00,4.9,154.0,293,259,
"Trullo in Ostuni, Italy",Magical Trullo in Ostuni Cis BR0740129000012213,Trullo,Ostuni,Italy,July,105.00,4.87,87.0,370,260,
"Chalet in Étival, France",The Napoleonic period chalet in the High Jura,Chalet,Étival,France,July,105.00,4.98,190.0,80,260,
"Home in Chalkida, Greece",Seaside & Garden Single family home,Home,Chalkida,Greece,June,104.00,4.94,33.0,208,261,
"Home in Chalkida, Greece",Seaside & Garden Single family home,Home,Chalkida,Greece,June,104.00,4.94,33.0,207,261,
"Room in New York, New York, US","Lovely Private Room-Manhattan, 70s-Upper East Side",Room,New York,United States,July,103.00,4.93,30.0,226,262,New York
"Room in New York, New York, US","Lovely Private Room-Manhattan, 70s-Upper East Side",Room,New York,United States,July,103.00,4.93,30.0,227,262,New York
"Yurt in Airville, Pennsylvania, US",Waterfront Glamping Muddy Creek PA,Yurt,Airville,United States,June,102.00,4.95,22.0,178,263,Pennsylvania
"Cabin in Bluefields, Jamaica",Cozy Oceanview Cabin,Cabin,Bluefields,Jamaica,July,102.00,4.88,76.0,339,263,
"Condo in Kaunakakai, Hawaii, US",$87 a night Molokai Escape Condo,Condo,Kaunakakai,United States,June,101.00,4.76,337.0,563,264,Hawaii
"Room in Aljezur, Portugal",XS Village - Arrifana Suite (private bathroom),Room,Aljezur,Portugal,June,100.00,4.96,25.0,150,265,
"Loft in Mazatlán, Mexico",Oceanfront loft,Loft,Mazatlán,Mexico,June,100.00,4.92,177.0,243,265,
"Cottage in Nicosia, Italy",Sicilian Mountain Oasis - Entire Villa (Smart W.),Cottage,Nicosia,Italy,November,100.00,4.94,325.0,187,265,
"Home in Moss Beach, California, US",Walk to the Beach from this Ocean Front Home,Home,Moss Beach,United States,June,"1,463.00",4.94,149.0,196,266,California
